,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
3055,machine learning,data science,medium,hacking,cloud computing,Service Based,no,Software Developer
3056,python,system designing,medium,data engineering,Business process analyst,Finance,no,Software Developer
3057,distro making,database security,excellent,data engineering,testing,Finance,no,Software Developer
3058,app development,game development,medium,networks,developer,SAaS services,yes,Software Developer
3059,shell programming,game development,medium,parallel computing,developer,product development,no,Software Developer
3060,app development,game development,medium,Computer Architecture,system developer,product development,yes,Software Developer
3061,app development,game development,medium,Software Engineering,system developer,BPA,no,Software Developer
3062,information security,game development,excellent,parallel computing,developer,Finance,yes,Software Developer
3063,full stack,system designing,medium,cloud computing,security,Testing and Maintainance Services,no,Software Developer
3064,distro making,system designing,poor,Management,testing,Cloud Services,no,Software Developer
3065,full stack,cloud computing,medium,programming,Business process analyst,Testing and Maintainance Services,no,Software Developer
3066,distro making,web technologies,medium,Software Engineering,security,Cloud Services,yes,Software Developer
3067,machine learning,web technologies,excellent,networks,system developer,SAaS services,yes,Software Developer
3068,hadoop,cloud computing,medium,programming,system developer,Cloud Services,yes,Software Developer
3069,machine learning,data science,poor,programming,security,SAaS services,yes,Software Developer
3070,distro making,game development,excellent,programming,security,Web Services,no,Software Developer
3071,r programming,cloud computing,poor,cloud computing,testing,BPA,yes,Software Developer
3072,app development,web technologies,excellent,cloud computing,security,Service Based,no,Software Developer
3073,distro making,game development,medium,Computer Architecture,system developer,product development,no,Software Developer
3074,python,game development,excellent,networks,Business process analyst,Finance,no,Software Developer
3075,hadoop,data science,medium,programming,cloud computing,BPA,yes,Software Developer
3076,distro making,game development,medium,hacking,security,Sales and Marketing,no,Software Developer
3077,distro making,game development,excellent,Software Engineering,testing,Product based,yes,Software Developer
3078,information security,game development,poor,IOT,testing,Cloud Services,yes,Software Developer
3079,full stack,testing,excellent,networks,cloud computing,Finance,no,Software Developer
3080,r programming,cloud computing,poor,Software Engineering,security,Testing and Maintainance Services,no,Software Developer
3081,distro making,data science,medium,Software Engineering,system developer,Testing and Maintainance Services,no,Software Developer
3082,full stack,hacking,poor,programming,Business process analyst,Cloud Services,yes,Software Developer
3083,python,web technologies,poor,networks,security,Web Services,yes,Software Developer
3084,r programming,web technologies,excellent,parallel computing,security,Testing and Maintainance Services,yes,Software Developer
3085,shell programming,cloud computing,excellent,data engineering,Business process analyst,Product based,no,Software Developer
3086,full stack,hacking,excellent,Software Engineering,testing,Testing and Maintainance Services,no,Software Developer
3087,information security,cloud computing,poor,IOT,developer,Product based,yes,Software Developer
3088,hadoop,web technologies,medium,Software Engineering,system developer,Product based,yes,Software Developer
3089,full stack,system designing,poor,IOT,developer,product development,yes,Software Developer
3090,machine learning,database security,poor,data engineering,developer,Product based,no,Software Developer
3091,machine learning,data science,excellent,IOT,cloud computing,Sales and Marketing,no,Software Developer
3092,machine learning,game development,excellent,programming,security,SAaS services,no,Software Developer
3093,information security,web technologies,poor,hacking,security,product development,yes,Software Developer
3094,full stack,cloud computing,poor,programming,security,Testing and Maintainance Services,no,Software Developer
3095,hadoop,cloud computing,excellent,Software Engineering,security,BPA,no,Software Developer
3096,machine learning,hacking,medium,IOT,testing,BPA,no,Software Developer
3097,full stack,cloud computing,excellent,Software Engineering,Business process analyst,SAaS services,yes,Software Developer
3098,hadoop,cloud computing,poor,programming,system developer,SAaS services,yes,Software Developer
3099,shell programming,web technologies,poor,networks,security,Testing and Maintainance Services,no,Software Developer
3100,r programming,hacking,poor,IOT,Business process analyst,product development,no,Software Developer
3101,full stack,web technologies,excellent,Management,system developer,Service Based,no,Software Developer
3102,hadoop,web technologies,medium,networks,system developer,SAaS services,no,Software Developer
3103,shell programming,hacking,excellent,IOT,cloud computing,Finance,yes,Software Developer
3104,distro making,hacking,poor,data engineering,testing,SAaS services,yes,Software Developer
3105,python,cloud computing,poor,programming,system developer,SAaS services,yes,Software Developer
3106,python,game development,poor,Management,developer,Product based,yes,Software Developer
3107,python,database security,excellent,hacking,testing,Service Based,no,Software Developer
3108,app development,database security,poor,data engineering,security,Web Services,yes,Software Developer
3109,distro making,database security,poor,networks,testing,Web Services,no,Software Developer
